title,position_group,company,salary_line_extracted,salary_min_rub,salary_max_rub
Ветеринарный врач-терапевт,Ветеринарный врач,Оригами,"от 120 000 ₽ за месяц, на руки",120000.0,
Ветеринарный врач стационара,Ветеринарный врач,ВЕТЕРИНАРНАЯ КЛИНИКА ВОДОЛЕЙ.,"от 120 000 ₽ за месяц, на руки",120000.0,
Ветеринарный врач ОРИТ,Ветеринарный врач,ООО Инновационный Ветеринарный Центр Международной Ветеринарной Академии,"от 160 000 ₽ за месяц, на руки",160000.0,
"Ассистент ветеринарного врача в ветеринарную клинику ""СОВА""",Ассистент ветеринарного врача,Майкова Галина Александровна,"от 60 000 ₽ за месяц, на руки",60000.0,
Ассистент ветеринарного врача,Ассистент ветеринарного врача,ООО Инновационный Ветеринарный Центр Международной Ветеринарной Академии,"59 400 – 82 800 ₽ за месяц, на руки",59400.0,82800.0
Ассистент ветеринарного врача,Ассистент ветеринарного врача,Дарвин,"от 52 000 ₽ за месяц, на руки",52000.0,
Ассистент ветеринарного врача (Фрунзенская),Ассистент ветеринарного врача,Сеть ветеринарных клиник БиоВет,"от 50 000 ₽ за месяц, на руки",50000.0,
Ветеринарный врач-терапевт,Ветеринарный врач,ООО НьюВетПро,"80 000 – 120 000 ₽ за месяц, на руки",80000.0,120000.0
Ветеринарный врач - терапевт,Ветеринарный врач,ООО Сеть Ветеринарных Клиник Свой Доктор,"от 150 000 ₽ за месяц, на руки",150000.0,
Ассистент ветеринарного врача,Ассистент ветеринарного врача,ООО НьюВетПро,"35 000 – 80 000 ₽ за месяц, на руки",35000.0,80000.0
Ветеринарный врач,Ветеринарный врач,Ветклиника Джек,"100 000 – 300 000 ₽ за месяц, на руки",100000.0,300000.0
Ветеринарный врач,Ветеринарный врач,Ветеринарная клиника Аист-Вет,"150 000 – 250 000 ₽ за месяц, на руки",150000.0,250000.0
Ассистент ветеринарного врача,Ассистент ветеринарного врача,ООО Сеть Ветеринарных Клиник Свой Доктор,"59 400 – 82 800 ₽ за месяц, на руки",59400.0,82800.0
Ассистент ветеринарного врача,Ассистент ветеринарного врача,Сеть ветеринарных клиник БиоВет,"от 50 000 ₽ за месяц, на руки",50000.0,
Ассистент Ветеринарного врача отделения терапии/УЗИ,Ассистент ветеринарного врача,ООО Зоостатус,"3 000 – 4 000 ₽ за смену, на руки",3000.0,4000.0
Ветеринарный врач УЗД,Ветеринарный врач,Хвостатая помощь,"от 120 000 ₽ за месяц, на руки",120000.0,
Ветеринарный врач визуальной диагностики,Ветеринарный врач,"Зоовет, Ветеринарный Центр","150 000 – 200 000 ₽ за месяц, на руки",150000.0,200000.0
Ассистент ветеринарного врача,Ассистент ветеринарного врача,Травма-Вет,"35 000 – 50 000 ₽ за месяц, до вычета налогов",35000.0,50000.0
Ветеринарный врач,Ветеринарный врач,ГБУ Автомобильные дороги СВАО,"120 000 ₽ за месяц, на руки",120000.0,120000.0
Ассистент ветеринарного врача,Ассистент ветеринарного врача,Ветеринарная клиника Аист-Вет,"50 000 – 80 000 ₽ за месяц, на руки",50000.0,80000.0
Ветеринарный врач лабораторной диагностики,Ветеринарный врач,ИП Шумкова Карина Михайловна,"84 000 – 130 000 ₽ за месяц, на руки",84000.0,130000.0
Администратор в ветеринарную клинику,Администратор pet-сервиса,ООО Биоконтроль,"52 000 ₽ за месяц, на руки",52000.0,52000.0
Ветеринарный врач,Ветеринарный врач,ООО Фауна,"от 150 000 ₽ за месяц, на руки",150000.0,
Ветеринарный врач ОРИТ,Ветеринарный врач,"Благотворительный Фонд Помощи Бездомным Животным и Животным, Пострадавшим От Жестокого Обращения Кусочек Счастья Для Бездомной Кошки","от 250 000 ₽ за месяц, на руки",250000.0,
Ветеринарный врач ОРИТ,Ветеринарный врач,ООО НьюВетПро,"110 000 – 200 000 ₽ за месяц, на руки",110000.0,200000.0
